,name,Total,Family households,Family households:2-person household,Family households:3-person household,Family households:4-person household,Family households:5-person household,Family households:6-person household,Family households:7-or-more person household,Nonfamily households,Nonfamily households:1-person household,Nonfamily households:2-person household,Nonfamily households:3-person household,Nonfamily households:4-person household,Nonfamily households:5-person household,Nonfamily households:6-person household,Nonfamily households:7-or-more person household,Family households:1-person household,Totalsize_1,Totalsize_2,Totalsize_3,Totalsize_4,Totalsize_5,Totalsize_6,Totalsize_7up
14000US53033007700,"Census Tract 77, King, WA",2450.0,1275.0,740.0,316.0,171.0,18.0,9.0,21.0,1175.0,727.0,315.0,90.0,25.0,18.0,0.0,0.0,0,727.0,1055.0,406.0,196.0,36.0,9.0,21.0
14000US53033007800,"Census Tract 78, King, WA",2304.0,1572.0,908.0,239.0,325.0,93.0,7.0,0.0,732.0,430.0,181.0,64.0,55.0,2.0,0.0,0.0,0,430.0,1089.0,303.0,380.0,95.0,7.0,0.0
14000US53033007900,"Census Tract 79, King, WA",3430.0,937.0,578.0,172.0,166.0,3.0,18.0,0.0,2493.0,1669.0,723.0,84.0,17.0,0.0,0.0,0.0,0,1669.0,1301.0,256.0,183.0,3.0,18.0,0.0
14000US53033008001,"Census Tract 80.01, King, WA",4872.0,1429.0,1254.0,147.0,0.0,28.0,0.0,0.0,3443.0,2912.0,531.0,0.0,0.0,0.0,0.0,0.0,0,2912.0,1785.0,147.0,0.0,28.0,0.0,0.0
14000US53033008002,"Census Tract 80.02, King, WA",2566.0,449.0,340.0,109.0,0.0,0.0,0.0,0.0,2117.0,1788.0,329.0,0.0,0.0,0.0,0.0,0.0,0,1788.0,669.0,109.0,0.0,0.0,0.0,0.0
14000US53033008100,"Census Tract 81, King, WA",2805.0,760.0,658.0,95.0,7.0,0.0,0.0,0.0,2045.0,1784.0,261.0,0.0,0.0,0.0,0.0,0.0,0,1784.0,919.0,95.0,7.0,0.0,0.0,0.0
14000US53033008200,"Census Tract 82, King, WA",2855.0,715.0,656.0,15.0,44.0,0.0,0.0,0.0,2140.0,1604.0,536.0,0.0,0.0,0.0,0.0,0.0,0,1604.0,1192.0,15.0,44.0,0.0,0.0,0.0
14000US53033008300,"Census Tract 83, King, WA",2138.0,357.0,295.0,43.0,15.0,4.0,0.0,0.0,1781.0,1399.0,339.0,43.0,0.0,0.0,0.0,0.0,0,1399.0,634.0,86.0,15.0,4.0,0.0,0.0
14000US53033008400,"Census Tract 84, King, WA",3345.0,686.0,588.0,98.0,0.0,0.0,0.0,0.0,2659.0,2061.0,582.0,16.0,0.0,0.0,0.0,0.0,0,2061.0,1170.0,114.0,0.0,0.0,0.0,0.0
14000US53033008500,"Census Tract 85, King, WA",1865.0,394.0,304.0,82.0,8.0,0.0,0.0,0.0,1471.0,1367.0,79.0,25.0,0.0,0.0,0.0,0.0,0,1367.0,383.0,107.0,8.0,0.0,0.0,0.0
14000US53033008600,"Census Tract 86, King, WA",2308.0,428.0,239.0,65.0,74.0,50.0,0.0,0.0,1880.0,1212.0,457.0,135.0,76.0,0.0,0.0,0.0,0,1212.0,696.0,200.0,150.0,50.0,0.0,0.0
14000US53033008700,"Census Tract 87, King, WA",1851.0,710.0,344.0,162.0,130.0,11.0,55.0,8.0,1141.0,541.0,349.0,170.0,52.0,22.0,7.0,0.0,0,541.0,693.0,332.0,182.0,33.0,62.0,8.0
14000US53033008800,"Census Tract 88, King, WA",1671.0,963.0,392.0,227.0,169.0,140.0,26.0,9.0,708.0,394.0,192.0,78.0,44.0,0.0,0.0,0.0,0,394.0,584.0,305.0,213.0,140.0,26.0,9.0
14000US53033008900,"Census Tract 89, King, WA",2498.0,1228.0,647.0,339.0,175.0,16.0,0.0,51.0,1270.0,571.0,481.0,192.0,10.0,0.0,0.0,16.0,0,571.0,1128.0,531.0,185.0,16.0,0.0,67.0
14000US53033009000,"Census Tract 90, King, WA",1798.0,608.0,353.0,82.0,100.0,41.0,0.0,32.0,1190.0,1016.0,156.0,13.0,5.0,0.0,0.0,0.0,0,1016.0,509.0,95.0,105.0,41.0,0.0,32.0
14000US53033009100,"Census Tract 91, King, WA",1569.0,461.0,329.0,41.0,91.0,0.0,0.0,0.0,1108.0,962.0,135.0,11.0,0.0,0.0,0.0,0.0,0,962.0,464.0,52.0,91.0,0.0,0.0,0.0
14000US53033009200,"Census Tract 92, King, WA",1895.0,285.0,214.0,46.0,11.0,8.0,6.0,0.0,1610.0,1382.0,223.0,5.0,0.0,0.0,0.0,0.0,0,1382.0,437.0,51.0,11.0,8.0,6.0,0.0
14000US53033009300,"Census Tract 93, King, WA",1195.0,449.0,289.0,102.0,53.0,5.0,0.0,0.0,746.0,524.0,185.0,19.0,18.0,0.0,0.0,0.0,0,524.0,474.0,121.0,71.0,5.0,0.0,0.0
14000US53033009400,"Census Tract 94, King, WA",2941.0,1577.0,794.0,229.0,357.0,197.0,0.0,0.0,1364.0,878.0,309.0,83.0,85.0,9.0,0.0,0.0,0,878.0,1103.0,312.0,442.0,206.0,0.0,0.0
14000US53033009500,"Census Tract 95, King, WA",2697.0,1495.0,499.0,423.0,481.0,71.0,21.0,0.0,1202.0,915.0,203.0,26.0,43.0,0.0,15.0,0.0,0,915.0,702.0,449.0,524.0,71.0,36.0,0.0
14000US53033009600,"Census Tract 96, King, WA",2849.0,1468.0,896.0,298.0,227.0,47.0,0.0,0.0,1381.0,1115.0,266.0,0.0,0.0,0.0,0.0,0.0,0,1115.0,1162.0,298.0,227.0,47.0,0.0,0.0
14000US53033009701,"Census Tract 97.01, King, WA",3119.0,1643.0,1022.0,270.0,317.0,34.0,0.0,0.0,1476.0,1115.0,344.0,0.0,17.0,0.0,0.0,0.0,0,1115.0,1366.0,270.0,334.0,34.0,0.0,0.0
14000US53033009702,"Census Tract 97.02, King, WA",2339.0,1480.0,644.0,303.0,423.0,73.0,37.0,0.0,859.0,680.0,172.0,7.0,0.0,0.0,0.0,0.0,0,680.0,816.0,310.0,423.0,73.0,37.0,0.0
14000US53033009800,"Census Tract 98, King, WA",3165.0,1940.0,1076.0,342.0,403.0,119.0,0.0,0.0,1225.0,889.0,251.0,58.0,0.0,27.0,0.0,0.0,0,889.0,1327.0,400.0,403.0,146.0,0.0,0.0
14000US53033009900,"Census Tract 99, King, WA",3096.0,1474.0,722.0,524.0,181.0,47.0,0.0,0.0,1622.0,1223.0,399.0,0.0,0.0,0.0,0.0,0.0,0,1223.0,1121.0,524.0,181.0,47.0,0.0,0.0
14000US53033010001,"Census Tract 100.01, King, WA",1639.0,1039.0,434.0,209.0,184.0,122.0,45.0,45.0,600.0,469.0,41.0,45.0,20.0,25.0,0.0,0.0,0,469.0,475.0,254.0,204.0,147.0,45.0,45.0
14000US53033010002,"Census Tract 100.02, King, WA",1860.0,1108.0,294.0,369.0,360.0,61.0,24.0,0.0,752.0,424.0,261.0,21.0,8.0,38.0,0.0,0.0,0,424.0,555.0,390.0,368.0,99.0,24.0,0.0
14000US53033010100,"Census Tract 101, King, WA",3185.0,2078.0,789.0,457.0,532.0,231.0,8.0,61.0,1107.0,753.0,221.0,75.0,22.0,13.0,23.0,0.0,0,753.0,1010.0,532.0,554.0,244.0,31.0,61.0
