,name,Total,Totalsize_1,Totalsize_2,Totalsize_3,Totalsize_4,Totalsize_5,Totalsize_6,Totalsize_7up
14000US41029000100,"Census Tract 1, Jackson, OR",824.0,361.0,217.0,98.0,78.0,26.0,28.0,16.0
14000US41029000201,"Census Tract 2.01, Jackson, OR",1462.0,569.0,407.0,112.0,101.0,164.0,17.0,92.0
14000US41029000202,"Census Tract 2.02, Jackson, OR",1361.0,432.0,448.0,134.0,140.0,137.0,36.0,34.0
14000US41029000203,"Census Tract 2.03, Jackson, OR",1623.0,392.0,723.0,295.0,108.0,61.0,32.0,12.0
14000US41029000300,"Census Tract 3, Jackson, OR",2418.0,701.0,687.0,612.0,160.0,114.0,118.0,26.0
14000US41029000403,"Census Tract 4.03, Jackson, OR",1593.0,411.0,575.0,276.0,254.0,42.0,35.0,0.0
14000US41029000404,"Census Tract 4.04, Jackson, OR",1741.0,328.0,713.0,241.0,326.0,80.0,36.0,17.0
14000US41029000405,"Census Tract 4.05, Jackson, OR",1748.0,598.0,527.0,256.0,208.0,106.0,37.0,16.0
14000US41029000406,"Census Tract 4.06, Jackson, OR",2035.0,703.0,646.0,273.0,235.0,139.0,7.0,32.0
14000US41029000501,"Census Tract 5.01, Jackson, OR",1323.0,413.0,446.0,243.0,181.0,10.0,21.0,9.0
14000US41029000502,"Census Tract 5.02, Jackson, OR",2368.0,830.0,827.0,357.0,198.0,45.0,74.0,37.0
14000US41029000601,"Census Tract 6.01, Jackson, OR",2672.0,568.0,1211.0,451.0,233.0,152.0,29.0,28.0
14000US41029000602,"Census Tract 6.02, Jackson, OR",2914.0,1200.0,1242.0,214.0,162.0,86.0,10.0,0.0
14000US41029000700,"Census Tract 7, Jackson, OR",3560.0,634.0,1432.0,655.0,486.0,253.0,82.0,18.0
14000US41029000800,"Census Tract 8, Jackson, OR",2553.0,697.0,977.0,422.0,287.0,125.0,32.0,13.0
14000US41029000900,"Census Tract 9, Jackson, OR",3391.0,802.0,1319.0,455.0,412.0,102.0,200.0,101.0
14000US41029001001,"Census Tract 10.01, Jackson, OR",2602.0,724.0,877.0,510.0,307.0,77.0,107.0,0.0
14000US41029001002,"Census Tract 10.02, Jackson, OR",1711.0,330.0,737.0,317.0,123.0,96.0,69.0,39.0
14000US41029001100,"Census Tract 11, Jackson, OR",2026.0,451.0,915.0,155.0,365.0,85.0,32.0,23.0
14000US41029001200,"Census Tract 12, Jackson, OR",1567.0,350.0,527.0,201.0,297.0,131.0,32.0,29.0
